content_id,ctr,days_since_last_update,search_volume,score,reason_code,action,rank
content_006f466746a7,0.0,104,260.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,1
content_008fa457324e,0.0,104,50.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,2
content_00cd5e91c97a,0.0,104,210.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,3
content_0159bdc5c49f,0.0,104,320.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,4
content_01e609bf549b,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,5
content_02866c352877,0.0,104,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,6
content_02ae9b37d7b7,0.02,104,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,7
content_02b0d6e30129,0.0,313,110.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,8
content_02bcf3eec147,0.0,104,50.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,9
content_02c4842fefe7,0.0,98,390.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,10
content_02e093500039,0.0,104,90.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,11
content_03452bf379ce,0.0,104,1600.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,12
content_0371fc7cdb0a,0.04,104,1300.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,13
content_03bcb8092a4e,0.0,92,880.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,14
content_03e34dd3ecd2,0.03,104,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,15
content_045784691835,0.0,104,110.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,16
content_0489f1b4a9a5,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,17
content_057189374b95,0.0,104,260.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,18
content_05b36e1a765e,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,19
content_06dd592a7b5e,0.0,92,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,20
content_0733c992bdbf,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,21
content_0781de99e1ac,0.0,104,30.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,22
content_0782eb742432,0.0,104,880.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,23
content_079b835122e9,0.03,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,24
content_07cb259b48b1,0.0,104,170.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,25
content_07f3e2bf4f9b,0.0,151,50.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,26
content_081c68229e69,0.05,104,1300.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,27
content_082ad8502566,0.0,104,880.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,28
content_082eb79ae608,0.0,92,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,29
content_08680a075d9f,0.0,92,50.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,30
content_0885b36a73e1,0.0,104,30.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,31
content_08eeb3ea4955,0.0,104,50.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,32
content_08fb3aa79322,0.0,104,590.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,33
content_09227e80fef5,0.0,92,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,34
content_0933318d2e25,0.0,104,30.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,35
content_093db3119b96,0.0,92,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,36
content_09665278b5bf,0.0,104,50.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,37
content_09752ea986e8,0.0,104,170.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,38
content_0a135b68c5ec,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,39
content_0a181c336e37,0.0,104,2900.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,40
content_0a76d4204a84,0.0,102,30.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,41
content_0ac90a7368b5,0.0,104,480.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,42
content_0ad759bc5d3d,0.0,104,110.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,43
content_0ae004d4a60f,0.0,92,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,44
content_0b5377579ec0,0.0,144,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,45
content_0b6d7bdc5365,0.0,104,30.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,46
content_0beb22756a9b,0.0,104,90.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,47
content_0c1d3c670a4e,0.02,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,48
content_0c366323d241,0.0,92,1900.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,49
content_0cbb2112e0a0,0.0,104,260.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,50
content_0cc405838fc5,0.0,144,210.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,51
content_0ceecbd531c7,0.0,104,30.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,52
content_0d7f4fecb391,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,53
content_0d88882ad8a2,0.0,104,50.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,54
content_0d9c0ed65840,0.0,104,110.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,55
content_0dedae17b399,0.0,104,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,56
content_0e2a59cb793e,0.0,104,260.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,57
content_0e6dbc08d6ae,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,58
content_0e7efaeb2c67,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,59
content_0f93eee6442b,0.0,104,30.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,60
content_0ff00aff22eb,0.0,104,50.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,61
content_1033787c1e0e,0.0,92,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,62
content_10a510187b9e,0.0,104,70.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,63
content_10d63a032d3a,0.0,104,40.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,64
content_10dccec1054e,0.06,104,30.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,65
content_110f6019011b,0.05,104,320.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,66
content_1145e63f878f,0.0,104,210.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,67
content_118b06b46356,0.0,104,320.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,68
content_11bec72dc466,0.0,104,260.0,4,LOW_CTR+STALE+HIGH_VOLUME,REFRESH_REVIEW,69
